filename,width,height,class,xmin,ymin,xmax,ymax
CH04J1784_289_932.jpg,116,90,C,33,35,47,53
CH04J1784_289_932.jpg,116,90,H,46,33,58,53
CH04J1784_289_932.jpg,116,90,0,64,31,75,48
CH04J1784_289_932.jpg,116,90,4,75,28,85,46
CH04J1784_289_932.jpg,116,90,J,35,60,45,78
CH04J1784_289_932.jpg,116,90,1,51,56,60,75
CH04J1784_289_932.jpg,116,90,7,60,53,70,72
CH04J1784_289_932.jpg,116,90,8,70,52,82,72
CH04J1784_289_932.jpg,116,90,4,79,50,91,69
CH04J1784_63_733.jpg,160,98,C,58,37,71,56
CH04J1784_63_733.jpg,160,98,H,70,36,84,54
CH04J1784_63_733.jpg,160,98,0,90,32,100,50
CH04J1784_63_733.jpg,160,98,4,100,31,112,47
CH04J1784_63_733.jpg,160,98,J,59,62,70,82
CH04J1784_63_733.jpg,160,98,1,75,60,86,78
CH04J1784_63_733.jpg,160,98,7,86,56,95,75
CH04J1784_63_733.jpg,160,98,8,96,55,107,74
CH04J1784_63_733.jpg,160,98,4,107,53,117,71
DL11B6896_1101_677.jpg,130,118,D,26,27,41,54
DL11B6896_1101_677.jpg,130,118,L,41,30,59,57
DL11B6896_1101_677.jpg,130,118,1,59,31,71,59
DL11B6896_1101_677.jpg,130,118,1,73,32,85,59
DL11B6896_1101_677.jpg,130,118,B,26,56,41,83
DL11B6896_1101_677.jpg,130,118,6,39,58,56,84
DL11B6896_1101_677.jpg,130,118,8,55,60,70,85
DL11B6896_1101_677.jpg,130,118,9,69,61,85,87
DL11B6896_1101_677.jpg,130,118,6,85,62,102,89
DL11B6896_590_219.jpg,82,60,D,24,17,37,34
DL11B6896_590_219.jpg,82,60,L,33,16,44,33
DL11B6896_590_219.jpg,82,60,1,42,12,50,32
DL11B6896_590_219.jpg,82,60,1,48,11,57,28
DL11B6896_590_219.jpg,82,60,B,28,36,38,55
DL11B6896_590_219.jpg,82,60,6,35,34,46,52
DL11B6896_590_219.jpg,82,60,8,43,32,53,50
DL11B6896_590_219.jpg,82,60,9,50,30,58,47
DL11B6896_590_219.jpg,82,60,6,56,29,65,46
DL11B6896_702_319.jpg,96,52,D,37,13,47,26
DL11B6896_702_319.jpg,96,52,L,48,13,56,27
DL11B6896_702_319.jpg,96,52,1,58,13,66,25
DL11B6896_702_319.jpg,96,52,1,68,12,76,25
DL11B6896_702_319.jpg,96,52,B,34,25,42,38
DL11B6896_702_319.jpg,96,52,6,43,25,52,38
DL11B6896_702_319.jpg,96,52,8,53,25,61,38
DL11B6896_702_319.jpg,96,52,9,62,25,72,39
DL11B6896_702_319.jpg,96,52,6,71,25,80,37
DL11SA1937_373_118.jpg,88,92,D,20,27,26,42
DL11SA1937_373_118.jpg,88,92,L,28,28,34,46
DL11SA1937_373_118.jpg,88,92,1,43,32,48,50
DL11SA1937_373_118.jpg,88,92,1,50,34,53,49
DL11SA1937_373_118.jpg,88,92,S,53,34,61,51
DL11SA1937_373_118.jpg,88,92,A,17,43,26,61
DL11SA1937_373_118.jpg,88,92,1,35,48,40,64
DL11SA1937_373_118.jpg,88,92,9,41,50,48,65
DL11SA1937_373_118.jpg,88,92,3,48,51,56,68
DL11SA1937_373_118.jpg,88,92,7,57,53,64,69
DL11SA1937_704_42.jpg,88,92,D,20,27,27,43
DL11SA1937_704_42.jpg,88,92,L,28,28,35,45
DL11SA1937_704_42.jpg,88,92,1,43,31,49,49
DL11SA1937_704_42.jpg,88,92,1,49,34,54,50
DL11SA1937_704_42.jpg,88,92,S,53,34,62,50
DL11SA1937_704_42.jpg,88,92,A,18,44,25,60
DL11SA1937_704_42.jpg,88,92,1,36,48,41,64
DL11SA1937_704_42.jpg,88,92,9,41,50,48,65
DL11SA1937_704_42.jpg,88,92,3,48,51,56,68
DL11SA1937_704_42.jpg,88,92,7,56,53,65,69
DL11SQ9765_273_917.jpg,100,100,D,24,39,38,54
DL11SQ9765_273_917.jpg,100,100,L,36,36,49,52
DL11SQ9765_273_917.jpg,100,100,1,47,33,59,49
DL11SQ9765_273_917.jpg,100,100,1,59,31,69,47
DL11SQ9765_273_917.jpg,100,100,S,20,55,35,72
DL11SQ9765_273_917.jpg,100,100,Q,32,54,46,70
DL11SQ9765_273_917.jpg,100,100,9,43,52,55,69
DL11SQ9765_273_917.jpg,100,100,7,52,49,63,66
DL11SQ9765_273_917.jpg,100,100,6,65,47,76,65
DL11SQ9765_273_917.jpg,100,100,5,74,44,84,61
DL11SQ9765_274_918.jpg,100,96,D,23,32,37,47
DL11SQ9765_274_918.jpg,100,96,L,33,29,50,45
DL11SQ9765_274_918.jpg,100,96,1,48,27,59,43
DL11SQ9765_274_918.jpg,100,96,1,58,25,68,40
DL11SQ9765_274_918.jpg,100,96,S,20,50,33,68
DL11SQ9765_274_918.jpg,100,96,Q,32,48,43,64
DL11SQ9765_274_918.jpg,100,96,9,43,46,55,64
DL11SQ9765_274_918.jpg,100,96,7,52,44,63,59
DL11SQ9765_274_918.jpg,100,96,6,62,41,75,57
DL11SQ9765_274_918.jpg,100,96,5,73,39,82,54
DL12SP2546_446_1070.jpg,112,102,D,23,32,35,55
DL12SP2546_446_1070.jpg,112,102,L,34,34,47,54
DL12SP2546_446_1070.jpg,112,102,1,48,32,59,53
DL12SP2546_446_1070.jpg,112,102,2,59,32,71,53
DL12SP2546_446_1070.jpg,112,102,S,71,31,83,51
DL12SP2546_446_1070.jpg,112,102,P,22,54,33,76
DL12SP2546_446_1070.jpg,112,102,2,35,53,46,76
DL12SP2546_446_1070.jpg,112,102,5,45,54,59,75
DL12SP2546_446_1070.jpg,112,102,4,60,54,71,73
DL12SP2546_446_1070.jpg,112,102,6,70,53,83,75
DL13S7972_1064_645.jpg,102,92,D,33,38,45,60
DL13S7972_1064_645.jpg,102,92,L,43,37,55,58
DL13S7972_1064_645.jpg,102,92,1,56,33,65,56
DL13S7972_1064_645.jpg,102,92,3,64,31,78,51
DL13S7972_1064_645.jpg,102,92,S,29,60,43,82
DL13S7972_1064_645.jpg,102,92,7,49,57,58,79
DL13S7972_1064_645.jpg,102,92,9,58,54,71,79
DL13S7972_1064_645.jpg,102,92,7,69,52,81,74
DL13S7972_1064_645.jpg,102,92,2,80,50,94,73
DL13S7972_1066_646.jpg,104,88,D,34,35,46,57
DL13S7972_1066_646.jpg,104,88,L,44,34,56,55
DL13S7972_1066_646.jpg,104,88,1,56,31,67,53
DL13S7972_1066_646.jpg,104,88,3,66,28,78,51
DL13S7972_1066_646.jpg,104,88,S,32,58,44,79
DL13S7972_1066_646.jpg,104,88,7,48,53,58,79
DL13S7972_1066_646.jpg,104,88,9,59,52,73,75
DL13S7972_1066_646.jpg,104,88,7,69,51,82,72
DL13S7972_1066_646.jpg,104,88,2,82,47,96,72
DL13SA5879_64_734.jpg,102,94,D,14,45,26,60
DL13SA5879_64_734.jpg,102,94,L,26,43,36,60
DL13SA5879_64_734.jpg,102,94,1,37,40,47,56
DL13SA5879_64_734.jpg,102,94,3,44,37,57,54
DL13SA5879_64_734.jpg,102,94,S,55,34,67,52
DL13SA5879_64_734.jpg,102,94,A,22,64,35,81
DL13SA5879_64_734.jpg,102,94,5,34,62,45,78
DL13SA5879_64_734.jpg,102,94,8,43,61,54,76
DL13SA5879_64_734.jpg,102,94,7,52,58,61,75
DL13SA5879_64_734.jpg,102,94,9,60,56,71,73
DL13SA5879_66_736.jpg,126,108,D,17,24,32,53
DL13SA5879_66_736.jpg,126,108,L,31,27,46,55
DL13SA5879_66_736.jpg,126,108,1,48,30,61,57
DL13SA5879_66_736.jpg,126,108,3,60,29,71,58
DL13SA5879_66_736.jpg,126,108,S,74,31,90,60
DL13SA5879_66_736.jpg,126,108,A,30,64,44,90
DL13SA5879_66_736.jpg,126,108,5,45,64,57,92
DL13SA5879_66_736.jpg,126,108,8,57,67,70,95
DL13SA5879_66_736.jpg,126,108,7,67,68,80,98
DL13SA5879_66_736.jpg,126,108,9,78,69,95,98
DL13SG7794_295_938.jpg,102,82,D,22,40,34,56
DL13SG7794_295_938.jpg,102,82,L,32,38,44,54
DL13SG7794_295_938.jpg,102,82,1,41,35,51,50
DL13SG7794_295_938.jpg,102,82,3,48,32,59,48
DL13SG7794_295_938.jpg,102,82,S,62,28,72,46
DL13SG7794_295_938.jpg,102,82,G,26,57,37,73
DL13SG7794_295_938.jpg,102,82,7,38,52,48,68
DL13SG7794_295_938.jpg,102,82,7,47,50,57,65
DL13SG7794_295_938.jpg,102,82,9,57,48,66,63
DL13SG7794_295_938.jpg,102,82,4,68,47,78,62
DL13SG7794_409_1038.jpg,114,92,D,25,37,37,57
DL13SG7794_409_1038.jpg,114,92,L,36,37,48,54
DL13SG7794_409_1038.jpg,114,92,1,47,35,56,53
DL13SG7794_409_1038.jpg,114,92,3,55,33,66,52
DL13SG7794_409_1038.jpg,114,92,S,69,33,80,51
DL13SG7794_409_1038.jpg,114,92,G,27,60,40,76
DL13SG7794_409_1038.jpg,114,92,7,40,56,51,76
DL13SG7794_409_1038.jpg,114,92,7,52,55,61,76
DL13SG7794_409_1038.jpg,114,92,9,60,54,73,74
DL13SG7794_409_1038.jpg,114,92,4,72,53,84,74
DL13SH4455_146_807.jpg,114,94,D,37,36,49,57
DL13SH4455_146_807.jpg,114,94,L,48,34,61,55
DL13SH4455_146_807.jpg,114,94,1,65,33,75,53
DL13SH4455_146_807.jpg,114,94,3,75,32,85,52
DL13SH4455_146_807.jpg,114,94,S,30,58,42,79
DL13SH4455_146_807.jpg,114,94,H,41,57,53,78
DL13SH4455_146_807.jpg,114,94,4,54,57,67,77
DL13SH4455_146_807.jpg,114,94,4,66,53,78,74
DL13SH4455_146_807.jpg,114,94,5,78,53,90,73
DL13SH4455_146_807.jpg,114,94,5,89,49,103,72
DL13SK9886_471_1092.jpg,108,86,D,18,20,28,36
DL13SK9886_471_1092.jpg,108,86,L,29,21,37,39
DL13SK9886_471_1092.jpg,108,86,1,38,22,47,39
DL13SK9886_471_1092.jpg,108,86,3,45,22,54,41
DL13SK9886_471_1092.jpg,108,86,S,58,23,67,42
DL13SK9886_471_1092.jpg,108,86,K,68,25,78,42
DL13SK9886_471_1092.jpg,108,86,9,25,45,35,63
DL13SK9886_471_1092.jpg,108,86,8,36,47,48,64
DL13SK9886_471_1092.jpg,108,86,8,49,46,59,66
